1,0.0005,4000,67.221499,721,,,1,0.0005,67.221499,
1,0.001,4000,32.275799,360,,,1,0.001,32.275799,
1,0.005,4000,6.174793,73,,,1,0.005,6.174793,
1,0.01,4000,3.201918,37,,,1,0.01,3.201918,
1,0.05,4000,0.80582,8,,,1,0.05,0.80582,
1,0.1,4000,0.47649,4,,,1,0.1,0.47649,
44,0.0005,4000,3.785117,721,,,44,0.0005,3.785117,
44,0.001,4000,1.668153,360,,,44,0.001,1.668153,
44,0.005,4000,0.307396,73,,,44,0.005,0.307396,
44,0.01,4000,0.220167,37,,,44,0.01,0.220167,
44,0.05,4000,0.130927,8,,,44,0.05,0.130927,
44,0.1,4000,0.116551,4,,,44,0.1,0.116551,
88,0.0005,4000,2.90134,721,,,88,0.0005,2.90134,
88,0.001,4000,1.233926,360,,,88,0.001,1.233926,
88,0.005,4000,0.247017,73,,,88,0.005,0.247017,
88,0.01,4000,0.202756,37,,,88,0.01,0.202756,
88,0.05,4000,0.161083,8,,,88,0.05,0.161083,
88,0.1,4000,0.169269,4,,,88,0.1,0.169269,
132,0.0005,4000,2.642103,721,,,132,0.0005,2.642103,
132,0.001,4000,1.146505,360,,,132,0.001,1.146505,
132,0.005,4000,0.268391,73,,,132,0.005,0.268391,
132,0.01,4000,0.236023,37,,,132,0.01,0.236023,
132,0.05,4000,0.191842,8,,,132,0.05,0.191842,
132,0.1,4000,0.212459,4,,,132,0.1,0.212459,
176,0.0005,4000,2.463291,721,,,176,0.0005,2.463291,
176,0.001,4000,1.0954,360,,,176,0.001,1.0954,
176,0.005,4000,0.294142,73,,,176,0.005,0.294142,
176,0.01,4000,0.261821,37,,,176,0.01,0.261821,
176,0.05,4000,0.248828,8,,,176,0.05,0.248828,
176,0.1,4000,0.251146,4,,,176,0.1,0.251146,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,1,0.0001,4000,369.101815,3603
,,,,,,176,0.0001,4000,14.856152,3603
,,,,,,176,0.0001,4000,14.571426,3603
