44,0.01,7071,0.613973,37
44,0.01,10000,1.196213,37
44,0.01,12245,1.703288,37
44,0.01,14143,3.439984,37
44,0.01,7071,0.713406,37
44,0.01,10000,1.154115,37
44,0.01,12245,1.742389,37
44,0.01,14143,2.358101,37
44,0.01,7071,0.621192,37
44,0.01,10000,1.160599,37
44,0.01,12245,1.737478,37
44,0.01,14143,2.328225,37
44,0.01,7071,0.614929,37
44,0.01,10000,1.174122,37
44,0.01,12245,1.781054,37
44,0.01,14143,2.353449,37
,,,,
44,0.01,7071,0.58019,37
44,0.01,10000,1.068606,37
44,0.01,12245,1.662107,37
44,0.01,14143,2.08458,37
44,0.01,7071,0.641597,37
44,0.01,10000,1.108206,37
44,0.01,12245,1.610529,37
44,0.01,14143,2.14062,37
44,0.01,7071,0.625009,37
44,0.01,10000,1.037015,37
44,0.01,12245,1.65922,37
44,0.01,14143,2.154005,37
,,,,
44,0.01,7071,0.619578,37
44,0.01,10000,1.224921,37
44,0.01,12245,1.872339,37
44,0.01,14143,2.51397,37
44,0.01,7071,0.607555,37
44,0.01,10000,1.198191,37
44,0.01,12245,1.918457,37
44,0.01,14143,2.485046,37
44,0.01,7071,0.598054,37
44,0.01,10000,1.320197,37
44,0.01,12245,1.828974,37
44,0.01,14143,2.528808,37
