,,,,,,Cores,Time (s),,Cores,Speedup,Effeciency,,Cores,Effeciency
1,0.000001,500,244.018992,178697,,1,244.018992,,1,1,100,,1,100
2,0.000001,500,125.624569,178697,,2,125.624569,,2,1.942446402,97.12232008,,2,97.12232008
3,0.000001,500,95.176122,178697,,3,87.176122,,3,2.799149428,93.30498092,,3,93.30498092
4,0.000001,500,68.57686,178697,,4,65.97686,,4,3.69855419,92.46385475,,4,92.46385475
5,0.000001,500,53.625802,178697,,5,53.625802,,5,4.550402659,91.00805318,,5,91.00805318
6,0.000001,500,45.736994,178697,,6,45.736994,,6,5.33526519,88.92108651,,6,88.92108651
7,0.000001,500,40.413946,178697,,7,40.413946,,7,6.037989757,86.25699653,,7,86.25699653
8,0.000001,500,36.015978,178697,,8,36.015978,,8,6.77529823,84.69122788,,8,84.69122788
9,0.000001,500,32.623176,178697,,9,32.623176,,9,7.479927521,83.11030579,,9,83.11030579
10,0.000001,500,29.602991,178697,,10,29.602991,,10,8.243051927,82.43051927,,10,82.43051927
12,0.000001,500,25.958644,178697,,12,25.958644,,12,9.400298105,78.33581754,,12,78.33581754
14,0.000001,500,22.497563,178697,,14,22.497563,,14,10.84646333,77.47473804,,14,77.47473804
17,0.000001,500,19.346542,178697,,17,19.346542,,17,12.61305467,74.19443926,,17,74.19443926
20,0.000001,500,16.722067,178697,,20,16.722067,,20,14.59263332,72.96316658,,20,72.96316658
24,0.000001,500,14.573165,178697,,24,14.573165,,24,16.74440604,69.76835849,,24,69.76835849
28,0.000001,500,13.04304,178697,,28,13.04304,,28,18.70875133,66.81696905,,28,66.81696905
34,0.000001,500,11.572783,178697,,34,11.572783,,34,21.08559298,62.01644995,,34,62.01644995
40,0.000001,500,10.737051,178697,,40,10.737051,,40,22.72681689,56.81704222,,40,56.81704222
45,0.000001,500,10.559611,178697,,45,10.559611,,45,23.10871035,51.35268967,,45,51.35268967
50,0.000001,500,9.78237,178697,,50,9.78237,,50,24.94477228,49.88954456,,50,49.88954456
60,0.000001,500,9.216693,178697,,60,9.216693,,60,26.47576435,44.12627392,,60,44.12627392
70,0.000001,500,8.536906,178697,,70,8.536906,,70,28.5840083,40.83429758,,70,40.83429758
80,0.000001,500,8.030058,178697,,80,8.030058,,80,30.38819794,37.98524743,,80,37.98524743
90,0.000001,500,7.209478,178697,,90,7.209478,,90,33.84697089,37.60774543,,90,37.60774543
100,0.000001,500,6.721151,178697,,100,6.721151,,100,36.30613149,36.30613149,,100,36.30613149
120,0.000001,500,6.491325,178697,,120,6.491325,,120,37.59155365,31.32629471,,120,31.32629471
140,0.000001,500,5.234621,178697,,140,5.234621,,140,46.61636287,33.29740205,,140,33.29740205
160,0.000001,500,4.415618,178697,,160,4.415618,,160,55.26270434,34.53919021,,160,34.53919021
176,0.000001,500,4.092671,178697,,176,4.012671,,176,60.81211044,34.55233548,,176,34.55233548
